year;indicator;inc;inc_low;inc_up;inc100;inc100_low;inc100_up;geo_insee;geo_name
2023;5;9595;6724;12466;14;10;18;FR;France
2022;5;4039;2247;5831;6;3;9;FR;France
2021;5;2346;997;3695;4;2;6;FR;France
2020;5;7514;5255;9773;11;8;14;FR;France
2019;5;7994;5350;10638;12;8;16;FR;France
2018;5;7017;4351;9683;11;7;15;FR;France
2017;5;4026;1900;6152;6;3;9;FR;France
2016;5;6176;3062;9290;9;4;14;FR;France
2015;5;8959;5512;12406;14;9;19;FR;France
2014;5;10960;6750;15170;17;10;24;FR;France
2013;5;16281;10344;22218;25;16;34;FR;France
2012;5;3729;1349;6109;6;2;10;FR;France
2011;5;5841;2817;8865;9;4;14;FR;France
2010;5;6144;3247;9041;10;5;15;FR;France
2009;5;11106;6904;15308;18;11;25;FR;France
2008;5;4875;2346;7404;8;4;12;FR;France
2007;5;7998;3115;12881;13;5;21;FR;France
2006;5;7294;3628;10960;12;6;18;FR;France
2005;5;16884;6500;27268;28;11;45;FR;France
2004;5;12870;7789;17951;21;13;29;FR;France
2003;5;12200;5538;18862;20;9;31;FR;France
2002;5;11301;5177;17425;19;9;29;FR;France
2001;5;11918;6455;17381;20;11;29;FR;France
2000;5;17627;9780;25474;30;17;43;FR;France
1999;5;22452;15742;29162;38;27;49;FR;France
1998;5;25472;19295;31649;44;33;55;FR;France
1997;5;39699;31845;47553;68;54;82;FR;France
1996;5;51374;42986;59762;89;75;103;FR;France
1995;5;49889;42501;57277;86;73;99;FR;France
1994;5;53942;46246;61638;94;81;107;FR;France
1993;5;89507;80384;98630;156;140;172;FR;France
1992;5;140700;127301;154099;246;223;269;FR;France
1991;5;125810;109381;142239;221;192;250;FR;France
1990;5;107335;90342;124328;190;160;220;FR;France
1989;5;73915;63497;84333;132;113;151;FR;France
1988;5;131350;119439;143261;235;214;256;FR;France
1987;5;533544;500992;566096;959;900;1018;FR;France
1986;5;475671;441867;509475;859;798;920;FR;France
