year;indicator;inc;inc_low;inc_up;inc100;inc100_low;inc100_up;geo_insee;geo_name
2008;2;3977;1487;6467;6;2;10;FR;France
2007;2;3397;0;7441;6;0;13;FR;France
2006;2;502;0;1487;1;0;3;FR;France
2005;2;4107;916;7298;7;2;12;FR;France
2004;2;4022;964;7080;7;2;12;FR;France
2003;2;10235;3797;16673;17;6;28;FR;France
2002;2;5489;1330;9648;9;2;16;FR;France
2001;2;8595;4052;13138;15;7;23;FR;France
2000;2;10429;5604;15254;18;10;26;FR;France
1999;2;15839;10733;20945;27;18;36;FR;France
1998;2;17885;12415;23355;31;22;40;FR;France
1997;2;83629;71870;95388;144;124;164;FR;France
1996;2;65804;56188;75420;114;97;131;FR;France
1995;2;54972;46827;63117;95;81;109;FR;France
1994;2;45212;37609;52815;79;66;92;FR;France
1993;2;76833;68194;85472;134;119;149;FR;France
1992;2;110094;97120;123068;193;170;216;FR;France
1991;2;164178;142985;185371;289;252;326;FR;France
1990;2;137403;120731;154075;243;214;272;FR;France
1989;2;140830;125365;156295;251;223;279;FR;France
1988;2;157191;142880;171502;281;255;307;FR;France
1987;2;496024;466905;525143;892;840;944;FR;France
1986;2;329401;299322;359480;595;541;649;FR;France
1985;2;202150;177558;226742;366;321;411;FR;France
