year;indicator;inc;inc_low;inc_up;inc100;inc100_low;inc100_up;geo_insee;geo_name
2019;4;49996;42934;57058;196;168;224;FR;France
2018;4;60731;52308;69154;240;207;273;FR;France
2017;4;48805;40971;56639;193;162;224;FR;France
2016;4;62577;53029;72125;249;211;287;FR;France
2015;4;63523;53596;73450;255;215;295;FR;France
2014;4;56688;46600;66776;228;187;269;FR;France
2013;4;69990;57526;82454;282;232;332;FR;France
2012;4;68862;56829;80895;278;229;327;FR;France
2011;4;56692;46678;66706;230;189;271;FR;France
2010;4;57073;46711;67435;233;191;275;FR;France
2009;4;68463;56483;80443;281;232;330;FR;France
2008;4;53361;43797;62925;220;181;259;FR;France
2007;4;54686;41585;67787;227;173;281;FR;France
2006;4;38662;28777;48547;161;120;202;FR;France
2005;4;38911;28390;49432;164;120;208;FR;France
2004;4;43910;33424;54396;186;141;231;FR;France
2003;4;61121;37613;84629;261;160;362;FR;France
2002;4;42267;29355;55179;182;126;238;FR;France
2001;4;43531;32721;54341;189;142;236;FR;France
2000;4;50860;38612;63108;222;168;276;FR;France
1999;4;57422;34829;80015;253;154;352;FR;France
1998;4;49342;40211;58473;218;178;258;FR;France
1997;4;40517;32438;48596;180;144;216;FR;France
1996;4;34893;29131;40655;156;130;182;FR;France
1995;4;33622;27931;39313;151;125;177;FR;France
1994;4;53557;45807;61307;242;207;277;FR;France
1993;4;49558;42404;56712;225;193;257;FR;France
1992;4;69945;60330;79560;319;275;363;FR;France
1991;4;63442;52077;74807;291;239;343;FR;France
1990;4;83125;69259;96991;383;319;447;FR;France
1989;4;115405;99699;131111;535;462;608;FR;France
1988;4;140378;127086;153670;657;595;719;FR;France
1987;4;189235;169094;209376;893;798;988;FR;France
1986;4;269782;243595;295969;1284;1159;1409;FR;France
1985;4;437663;397834;477492;2099;1908;2290;FR;France
