geo_insee;geo_name;year;rrmse;alpha;mu;sigma;d_alpha;d_mu;d_sigma
0;FRANCE;1984-1985;0.45571902148378707;902.9261488704982;111.24023802449595;27.79552683194919;55.11671021435999;1.9941474034709064;2.044326071360481
0;FRANCE;1985-1986;0.37807046140542544;795.7534111940001;171.28363276062515;25.354950968350597;32.58169355764978;1.198746333621636;1.1987463314314937
0;FRANCE;1986-1987;0.5223908380627152;455.8778345381436;163.0401382050737;22.023409467701875;27.738517604630843;1.5473504816437158;1.5473504808669798
0;FRANCE;1987-1988;0.6165521811403806;504.4901590279109;197.6086739434015;16.22976101539261;35.861568265045186;1.332165263547458;1.332164882063562
0;FRANCE;1988-1989;0.2497799050624393;1873.9426195632755;103.78694123733746;12.39624568506075;33.39324936212807;0.2550715002162339;0.2550714992515991
0;FRANCE;1989-1990;0.7491615327898277;1196.385464995186;116.81364687694924;18.836041089815712;77.03914756774797;1.4005523285320676;1.4005523285186592
0;FRANCE;1990-1991;0.5830785325040457;358.9251908326403;178.96841033582308;13.877190677472461;22.52969837870341;1.0058191557992617;1.0058438574972148
0;FRANCE;1991-1992;0.6370324292922491;513.5189706776356;129.11154081285818;20.993457905666776;29.824459052231703;1.4078922903054147;1.4078922890817567
0;FRANCE;1992-1993;0.3106336774091772;451.5877629527549;163.29222697551268;23.442525344808764;14.263542612731001;0.8336107395339031;0.8176142285831686
0;FRANCE;1993-1994;0.41473900304440714;1392.985156085968;99.76926844703276;10.63916274439423;37.527618216383296;0.33096444020330573;0.3309644405757029
0;FRANCE;1994-1995;0.482606414937359;381.2441148731584;216.79228472757472;15.663946507442049;18.63254598348055;0.8839742508471409;0.883974254061498
0;FRANCE;1995-1996;0.41458969343401003;1170.1896510069198;109.20117518535642;11.476558394601511;36.14906964608298;0.4093755628299902;0.4093755626017601
0;FRANCE;1996-1997;0.5222678635046787;946.7556609380023;113.75472166251903;17.87124249427983;39.61613307391262;0.8799485859199929;0.8111252139305739
0;FRANCE;1997-1998;0.46094190502576604;484.38866840407866;198.39711327511418;26.88505749131437;22.392436136579278;1.43511832003792;1.4351183220457717
0;FRANCE;1998-1999;0.2957952057137838;839.8808139236149;159.94125755118526;18.91421527370697;21.395426335473417;0.5474269584540383;0.5302979022923697
0;FRANCE;1999-2000;0.1745725758260074;906.5380558789049;131.86503159729426;18.186265538573284;12.804293498999117;0.29660773994030376;0.29660773878537433
0;FRANCE;2000-2001;0.5610757271130523;300.5752093884873;145.24071955371488;34.862259560721384;19.725334230423748;2.6417765954235595;2.641777227724798
0;FRANCE;2001-2002;0.3419308213072822;809.4855257611063;156.0928030921877;14.25103235066646;23.55793269905211;0.48156118440571577;0.5005157343796005
0;FRANCE;2002-2003;0.46277444691139896;331.93278487656295;179.88327888177344;25.821802461956054;16.10393236520282;1.4465642000092889;1.4465642041675209
0;FRANCE;2003-2004;0.43589099524433;967.2949849878747;98.60317149241637;13.97041215766206;33.491565295519344;0.5585410510969392;0.5585410512810434
0;FRANCE;2004-2005;0.4889061201775149;850.3447028785514;162.48665837131918;17.41885018803704;34.87215012923511;0.8214307255931848;0.7982822227060042
0;FRANCE;2005-2006;0.4369743672183275;357.9341530059348;170.38996277159706;23.801152257263738;16.281926493516544;1.2501726745047086;1.2501726701025422
0;FRANCE;2006-2007;0.3958936960824034;767.4109906478484;162.2992745962708;13.402269801911732;23.704254792387058;0.47801994651798085;0.4780199489161025
0;FRANCE;2007-2008;0.35997899296803537;548.9390206523298;162.67835137604894;21.17325342856202;18.488023535113847;0.8438104646327428;0.872446890386121
0;FRANCE;2008-2009;0.411661187182561;777.3563987019724;144.84220070135567;16.52058055591578;27.518747198493095;0.6753099605727236;0.6753099566534139
0;FRANCE;2009-2010;0.562340681150397;695.2415683643809;93.42706058242426;19.29406680809049;38.544431978171126;1.2074129632669546;1.1734972080339579
0;FRANCE;2010-2011;0.20886635282209806;498.54891004377384;138.610862709494;23.565636328561478;9.377235018568673;0.5118180177945367;0.5118180160594337
0;FRANCE;2011-2012;0.38615764696105925;404.2421430558785;175.25681546280723;18.551018633091097;14.871222408392716;0.7880290238799037;0.7880290218545458
0;FRANCE;2012-2013;0.3897272215930961;724.7835726905107;166.41717615880057;21.974975867607316;26.972657619563883;0.9588473050506863;0.9906252048813329
0;FRANCE;2013-2014;0.3992292008729368;292.62769140718035;175.21362524880234;18.349650640386084;10.998595349161858;0.7963774832237974;0.7963774833339399
0;FRANCE;2014-2015;0.28931669715882735;814.3680800134404;163.46615773361316;16.352541564786595;19.522167227657594;0.4526493682201469;0.45264936862752836
0;FRANCE;2015-2016;0.39929089817552726;409.0364316227105;183.05407450747728;27.366424775171822;15.771605436533534;1.2149022695601357;1.1922461194264051
0;FRANCE;2016-2017;0.21204865248331253;430.3317342966686;132.7864106801951;21.521706930641088;7.850522135152098;0.4533579677403267;0.45335796672031636
0;FRANCE;2017-2018;0.4857671760615609;334.11523198593454;136.88647303906433;33.10185979671785;16.79319879238467;1.9211394301651157;1.921139985185128
0;FRANCE;2018-2019;0.3024214056720343;575.2189063218275;165.9195175665715;13.845838642512206;13.688470747675833;0.38026909092976136;0.38168217874985033
0;FRANCE;2019-2020;0.4236687743188539;250.65806970119775;177.53854640727897;31.351800587178275;10.95430028802809;1.582103198226965;1.5821031992197967
0;FRANCE;2020-2021;0.4763423645402676;34.512920728275276;105.2642083599482;99.99999999999999;2.6958333859163455;11.61108418067325;12.873050186500238
